MUNICIPIO,CLASSIFICADOR_TIPO,CLASSIFICADOR,SETOR
DIVINOPOLIS,NREDS,2015-024916573-001,PLANALTO
DIVINOPOLIS,NREDS,2015-025004710-001,PLANALTO
DIVINOPOLIS,NREDS,2015-028022412-001,PLANALTO
DIVINOPOLIS,NREDS,2016-000319664-001,PLANALTO
DIVINOPOLIS,NREDS,2016-001791504-001,
DIVINOPOLIS,NREDS,2016-002944407-001,PLANALTO
DIVINOPOLIS,NREDS,2016-005181042-001,PLANALTO
DIVINOPOLIS,NREDS,2016-006298710-001,
DIVINOPOLIS,NREDS,2016-007809906-001,
DIVINOPOLIS,NREDS,2016-008057290-001,PLANALTO
DIVINOPOLIS,NREDS,2016-008622455-001,PLANALTO
DIVINOPOLIS,NREDS,2016-008766386-001,PLANALTO
DIVINOPOLIS,NREDS,2016-010518604-001,
DIVINOPOLIS,NREDS,2016-013813656-001,PLANALTO
DIVINOPOLIS,NREDS,2016-014404174-001,PLANALTO
DIVINOPOLIS,NREDS,2016-014934053-001,PLANALTO
DIVINOPOLIS,NREDS,2016-014946738-001,PLANALTO
DIVINOPOLIS,NREDS,2016-015082456-001,PLANALTO
DIVINOPOLIS,NREDS,2016-015886141-001,PLANALTO
DIVINOPOLIS,NREDS,2016-016422051-001,PLANALTO
DIVINOPOLIS,NREDS,2016-017257027-001,PLANALTO
DIVINOPOLIS,NREDS,2016-017271375-001,PLANALTO
DIVINOPOLIS,NREDS,2016-017542422-001,PLANALTO
DIVINOPOLIS,NREDS,2016-018038580-001,PLANALTO
DIVINOPOLIS,NREDS,2016-018069251-001,PLANALTO
DIVINOPOLIS,NREDS,2016-018105470-001,PLANALTO
DIVINOPOLIS,NREDS,2016-020003327-001,PLANALTO
DIVINOPOLIS,NREDS,2016-020604107-001,PLANALTO
DIVINOPOLIS,NREDS,2016-021098549-001,PLANALTO
DIVINOPOLIS,NREDS,2016-021413901-001,PLANALTO
DIVINOPOLIS,NREDS,2016-021994810-001,PLANALTO
DIVINOPOLIS,NREDS,2016-022923477-001,PLANALTO
DIVINOPOLIS,NREDS,2016-024458020-001,PLANALTO
DIVINOPOLIS,NREDS,2016-025837489-001,PLANALTO
DIVINOPOLIS,NREDS,2017-000294314-001,PLANALTO
DIVINOPOLIS,NREDS,2017-000973116-001,PLANALTO
DIVINOPOLIS,NREDS,2017-001511157-001,PLANALTO
DIVINOPOLIS,NREDS,2017-002416191-001,PLANALTO
DIVINOPOLIS,NREDS,2017-003177234-001,PLANALTO
DIVINOPOLIS,NREDS,2017-005089159-001,PLANALTO
DIVINOPOLIS,NREDS,2017-005366820-001,PLANALTO
DIVINOPOLIS,NREDS,2017-007286109-001,PLANALTO
DIVINOPOLIS,NREDS,2017-007442521-001,PLANALTO
DIVINOPOLIS,NREDS,2017-009930250-001,PLANALTO
DIVINOPOLIS,NREDS,2017-011684887-001,PLANALTO
DIVINOPOLIS,NREDS,2017-012246529-001,PLANALTO
DIVINOPOLIS,NREDS,2017-013279736-001,PLANALTO
DIVINOPOLIS,NREDS,2017-015944476-001,PLANALTO
DIVINOPOLIS,NREDS,2017-017976500-001,PLANALTO
DIVINOPOLIS,NREDS,2017-019778724-001,PLANALTO
DIVINOPOLIS,NREDS,2017-019845943-001,PLANALTO
DIVINOPOLIS,NREDS,2017-025368343-001,PLANALTO
DIVINOPOLIS,NREDS,2017-034330486-001,PLANALTO
DIVINOPOLIS,NREDS,2017-038737599-001,PLANALTO
DIVINOPOLIS,NREDS,2017-039617179-001,PLANALTO
DIVINOPOLIS,NREDS,2017-040183427-001,PLANALTO
DIVINOPOLIS,NREDS,2018-000817507-001,PLANALTO
DIVINOPOLIS,NREDS,2018-001420740-001,PLANALTO
DIVINOPOLIS,NREDS,2018-001602297-001,PLANALTO
DIVINOPOLIS,NREDS,2018-001679635-001,PLANALTO
DIVINOPOLIS,NREDS,2018-002644711-001,PLANALTO
DIVINOPOLIS,NREDS,2018-004351775-001,PLANALTO
DIVINOPOLIS,NREDS,2018-004973720-001,SAO JOSE
DIVINOPOLIS,NREDS,2018-007522295-001,PLANALTO
DIVINOPOLIS,NREDS,2018-009062716-001,PLANALTO
DIVINOPOLIS,NREDS,2018-013357040-001,PLANALTO
DIVINOPOLIS,NREDS,2018-015670657-001,PLANALTO
DIVINOPOLIS,NREDS,2018-020944020-001,PLANALTO
DIVINOPOLIS,NREDS,2018-024090910-001,PLANALTO
DIVINOPOLIS,NREDS,2018-024759221-001,PLANALTO
DIVINOPOLIS,NREDS,2018-027985490-001,PLANALTO
DIVINOPOLIS,NRAT,2018-029935221-001,PLANALTO
DIVINOPOLIS,NREDS,2018-030076292-001,PLANALTO
DIVINOPOLIS,NREDS,2018-031091006-001,PLANALTO
DIVINOPOLIS,NRAT,2018-033556919-001,PLANALTO
DIVINOPOLIS,NREDS,2018-033871236-001,PLANALTO
DIVINOPOLIS,NREDS,2018-034747071-001,PLANALTO
DIVINOPOLIS,NRAT,2018-034910769-001,PLANALTO
DIVINOPOLIS,NRAT,2018-035823715-001,PLANALTO
DIVINOPOLIS,NREDS,2018-036252196-001,PLANALTO
DIVINOPOLIS,NREDS,2018-038409984-001,PLANALTO
DIVINOPOLIS,NREDS,2018-039899419-001,PLANALTO
DIVINOPOLIS,NREDS,2018-043056339-001,PLANALTO
DIVINOPOLIS,NREDS,2018-043336850-001,PLANALTO
DIVINOPOLIS,NREDS,2016-002672812-001,NITEROI
DIVINOPOLIS,NREDS,2017-005814224-001,NITEROI
DIVINOPOLIS,NRAT,2018-001679635-001,NITEROI
DIVINOPOLIS,NREDS,2018-002061604-001,NITEROI
DIVINOPOLIS,NREDS,2018-007356202-001,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,ALUMINIO,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,ANTONIO NETO,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,ARMANDO GONTIJO DA FONSECA,NITEROI
DIVINOPOLIS,LOGRADOURO,BELVEDERE,NITEROI
